Official Name,Country/Org of UN Registry,Country of Operator,Operator,Users,Purpose,Period (minutes),Date of Launch,Contractor,Country of Contractor,Launch Site,Launch Vehicle,NORAD Number,Year
3Cat-1,NR,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,95,11/29/2018,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV,43728,2018
Aalto-1,Finland,Finland,University of Aalto,Civil,Technology Development,94.7,6/23/2017,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV,42775,2017
AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,95.9,4/25/2016,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,41460,2016
ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,1436.03,2/6/2014,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,39508,2014
ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,1436.1,6/15/2016,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,41588,2016
ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,1436,3/2/2015,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,40424,2015
ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,1436.1,3/13/2004,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,28184,2004
ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,1436.08,9/26/1999,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,25924,1999
ABS-7,South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,1436.06,9/4/1999,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,25894,1999
USA 139,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1436.14,5/9/1998,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,25336,1998
USA 171,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1436.1,9/9/2003,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,27937,2003
USA 202,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1438.8,1/18/2009,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,33490,2009
USA 223,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1436,11/21/2010,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,37232,2010
